,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,629260,UPHC-78,47EKBALPUR ROADKOLKATA-700023,West Bengal,Kolkata,Borough-IX,700023,22,88,10:00:00,16:00:00,Free,"[{'session_id': '7465de61-21b3-4805-a8dc-894936c9cffc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}, {'session_id': 'e726693d-c643-4b48-a1d5-18ccaa8cdd2e', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:47:33.278081
1,674287,UPHC-75,"2, NITYA GHOSH STREET, KOLKATA- 700023",West Bengal,Kolkata,Borough-IX,700023,88,22,10:00:00,16:00:00,Free,"[{'session_id': '3657a68a-3115-4c96-9b35-b11dde00f9d6', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:47:33.278081
0,629260,UPHC-78,47EKBALPUR ROADKOLKATA-700023,West Bengal,Kolkata,Borough-IX,700023,22,88,10:00:00,16:00:00,Free,"[{'session_id': '7465de61-21b3-4805-a8dc-894936c9cffc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}, {'session_id': 'e726693d-c643-4b48-a1d5-18ccaa8cdd2e', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:49:40.826486
1,674287,UPHC-75,"2, NITYA GHOSH STREET, KOLKATA- 700023",West Bengal,Kolkata,Borough-IX,700023,88,22,10:00:00,16:00:00,Free,"[{'session_id': '3657a68a-3115-4c96-9b35-b11dde00f9d6', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:49:40.826486
0,629260,UPHC-78,47EKBALPUR ROADKOLKATA-700023,West Bengal,Kolkata,Borough-IX,700023,22,88,10:00:00,16:00:00,Free,"[{'session_id': '7465de61-21b3-4805-a8dc-894936c9cffc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}, {'session_id': 'e726693d-c643-4b48-a1d5-18ccaa8cdd2e', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:51:48.839804
1,674287,UPHC-75,"2, NITYA GHOSH STREET, KOLKATA- 700023",West Bengal,Kolkata,Borough-IX,700023,88,22,10:00:00,16:00:00,Free,"[{'session_id': '3657a68a-3115-4c96-9b35-b11dde00f9d6', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:51:48.839804
0,629260,UPHC-78,47EKBALPUR ROADKOLKATA-700023,West Bengal,Kolkata,Borough-IX,700023,22,88,10:00:00,16:00:00,Free,"[{'session_id': '7465de61-21b3-4805-a8dc-894936c9cffc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}, {'session_id': 'e726693d-c643-4b48-a1d5-18ccaa8cdd2e', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:53:51.166235
1,674287,UPHC-75,"2, NITYA GHOSH STREET, KOLKATA- 700023",West Bengal,Kolkata,Borough-IX,700023,88,22,10:00:00,16:00:00,Free,"[{'session_id': '3657a68a-3115-4c96-9b35-b11dde00f9d6', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:53:51.166235
0,629260,UPHC-78,47EKBALPUR ROADKOLKATA-700023,West Bengal,Kolkata,Borough-IX,700023,22,88,10:00:00,16:00:00,Free,"[{'session_id': '7465de61-21b3-4805-a8dc-894936c9cffc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}, {'session_id': 'e726693d-c643-4b48-a1d5-18ccaa8cdd2e', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:55:53.250991
1,674287,UPHC-75,"2, NITYA GHOSH STREET, KOLKATA- 700023",West Bengal,Kolkata,Borough-IX,700023,88,22,10:00:00,16:00:00,Free,"[{'session_id': '3657a68a-3115-4c96-9b35-b11dde00f9d6', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 03:55:53.250991
